USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
Pen MacLeese,15,MacLeese,Male,$206661.36,2020-07-08T23:46:31Z
Nana Baugham,94,Baugham,Female,$355274.61,2020-07-13T05:43:35Z
Dore Chance,52,Chance,Male,$46271.35,2020-08-12T20:44:17Z
Bambie Hackleton,61,Hackleton,Female,$56024.30,2020-03-01T07:45:22Z
Elizabet Borthwick,38,Borthwick,Female,$241215.62,2020-06-19T01:46:08Z
Cassandra Zelake,6,Zelake,Female,$303836.95,2020-02-11T10:53:35Z
Baudoin Paoloni,38,Paoloni,Male,$148817.13,2020-02-22T15:43:36Z
Camey Wilber,32,Wilber,Male,$148937.12,2020-08-03T16:44:46Z
Jacky Tittershill,32,Tittershill,Female,$89143.39,2020-12-10T21:34:17Z
Oneida Benoit,60,Benoit,Female,$363175.57,2020-08-15T09:03:31Z
Desdemona Thieme,14,Thieme,Female,$266659.22,2020-04-25T20:49:49Z
Glenna Albinson,91,Albinson,Female,$136861.60,2020-02-13T04:09:30Z
Jedediah Lannen,74,Lannen,Male,$179117.85,2020-04-27T08:06:06Z
Hollis Dorrity,62,Dorrity,Male,$289383.72,2020-02-17T09:48:06Z
Carleton Renoden,94,Renoden,Male,$396640.56,2020-09-20T18:12:30Z
Dawn Blaydes,59,Blaydes,Female,$489153.09,2020-02-11T04:55:22Z
Sandra Genery,59,Genery,Female,$144977.25,2020-08-19T16:52:25Z
Lanni De Gregoli,86,De Gregoli,Female,$241712.65,2020-10-18T06:09:42Z
Courtnay Tynan,4,Tynan,Male,$193028.76,2020-12-20T07:39:04Z
Agustin Kerfut,92,Kerfut,Male,$210650.41,2020-02-26T19:06:58Z
Penni Quickfall,61,Quickfall,Female,$288266.36,2020-07-15T08:01:48Z
Cathlene Aylin,85,Aylin,Female,$204271.03,2020-06-20T02:32:33Z
Taddeo Abry,58,Abry,Male,$184772.37,2020-06-02T01:07:30Z
Polly Woolford,56,Woolford,Female,$135537.20,2020-04-13T09:28:30Z
Ulrica Severwright,61,Severwright,Female,$57115.73,2020-08-31T18:42:17Z
Meredith Kingswood,58,Kingswood,Female,$66870.99,2020-07-11T15:26:51Z
Shellysheldon Ekless,2,Ekless,Male,$104004.93,2020-09-29T22:24:17Z
Zulema Van Velden,39,Van Velden,Female,$44725.66,2020-03-10T02:28:21Z
Euell Crannis,67,Crannis,Male,$353947.68,2020-10-27T04:11:05Z
Vincent Coulston,87,Coulston,Male,$381321.10,2020-02-21T19:42:05Z
Eleonora Verzey,32,Verzey,Female,$297846.53,2020-11-04T16:58:29Z
Matthias Pedwell,59,Pedwell,Male,$50590.05,2020-11-17T11:00:24Z
Stefano Bilbery,26,Bilbery,Male,$422656.09,2020-06-29T15:34:40Z
Caprice Layhe,100,Layhe,Female,$476082.85,2020-10-29T05:07:57Z
Thaddus Ledeker,52,Ledeker,Male,$434434.71,2020-12-26T05:12:47Z
Moselle Hillitt,15,Hillitt,Female,$245082.41,2020-04-02T00:52:49Z
Torrance Jaqueme,96,Jaqueme,Male,$471774.95,2020-10-09T20:24:03Z
Brigit Kulver,9,Kulver,Female,$218689.88,2020-05-29T22:16:19Z
Amargo Vogelein,26,Vogelein,Female,$217340.74,2020-10-09T17:27:17Z
Franky Glisenan,81,Glisenan,Female,$112420.68,2020-04-30T13:46:37Z
Helaina Iannuzzelli,68,Iannuzzelli,Female,$55692.57,2020-12-14T02:40:04Z
Sidney Dumini,6,Dumini,Male,$480472.65,2020-09-03T05:43:28Z
Clement Desforges,11,Desforges,Male,$479164.30,2020-08-16T05:17:22Z
Linc Loftie,22,Loftie,Male,$318016.70,2020-09-19T16:42:53Z
Rufe Hurdman,77,Hurdman,Male,$10388.49,2020-01-27T21:36:39Z
Chip Serck,48,Serck,Male,$467808.36,2020-12-12T20:11:34Z
